transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43679.043181	0.05	B3Sigma-	4	23	F1	e	X3Sigma-	0	24	F2	e	22HeStLy.169
43668.668797	0.05	B3Sigma-	4	24	F1	e	X3Sigma-	0	25	F2	e	22HeStLy.170
43657.823677	0.05	B3Sigma-	4	25	F1	e	X3Sigma-	0	26	F2	e	22HeStLy.171
43646.507706	0.05	B3Sigma-	4	26	F1	e	X3Sigma-	0	27	F2	e	22HeStLy.172
43634.720794	0.05	B3Sigma-	4	27	F1	e	X3Sigma-	0	28	F2	e	22HeStLy.173
43622.462872	0.05	B3Sigma-	4	28	F1	e	X3Sigma-	0	29	F2	e	22HeStLy.174
43609.733888	0.05	B3Sigma-	4	29	F1	e	X3Sigma-	0	30	F2	e	22HeStLy.175
43596.533808	0.05	B3Sigma-	4	30	F1	e	X3Sigma-	0	31	F2	e	22HeStLy.176
43582.862607	0.05	B3Sigma-	4	31	F1	e	X3Sigma-	0	32	F2	e	22HeStLy.177
43568.720277	0.05	B3Sigma-	4	32	F1	e	X3Sigma-	0	33	F2	e	22HeStLy.178
43554.106818	0.05	B3Sigma-	4	33	F1	e	X3Sigma-	0	34	F2	e	22HeStLy.179
43539.022238	0.05	B3Sigma-	4	34	F1	e	X3Sigma-	0	35	F2	e	22HeStLy.180
43523.466556	0.05	B3Sigma-	4	35	F1	e	X3Sigma-	0	36	F2	e	22HeStLy.181
43507.439799	0.05	B3Sigma-	4	36	F1	e	X3Sigma-	0	37	F2	e	22HeStLy.182
43490.941998	0.05	B3Sigma-	4	37	F1	e	X3Sigma-	0	38	F2	e	22HeStLy.183
43473.973195	0.05	B3Sigma-	4	38	F1	e	X3Sigma-	0	39	F2	e	22HeStLy.184
43456.533435	0.05	B3Sigma-	4	39	F1	e	X3Sigma-	0	40	F2	e	22HeStLy.185
43438.622768	0.05	B3Sigma-	4	40	F1	e	X3Sigma-	0	41	F2	e	22HeStLy.186
43420.241253	0.05	B3Sigma-	4	41	F1	e	X3Sigma-	0	42	F2	e	22HeStLy.187
43401.388950	0.05	B3Sigma-	4	42	F1	e	X3Sigma-	0	43	F2	e	22HeStLy.188
43382.065927	0.05	B3Sigma-	4	43	F1	e	X3Sigma-	0	44	F2	e	22HeStLy.189
43362.272254	0.05	B3Sigma-	4	44	F1	e	X3Sigma-	0	45	F2	e	22HeStLy.190
43342.008007	0.05	B3Sigma-	4	45	F1	e	X3Sigma-	0	46	F2	e	22HeStLy.191
43321.273267	0.05	B3Sigma-	4	46	F1	e	X3Sigma-	0	47	F2	e	22HeStLy.192
43300.068116	0.05	B3Sigma-	4	47	F1	e	X3Sigma-	0	48	F2	e	22HeStLy.193
43278.392643	0.05	B3Sigma-	4	48	F1	e	X3Sigma-	0	49	F2	e	22HeStLy.194
43779.380593	0.05	B3Sigma-	4	1	F1	e	X3Sigma-	0	2	F1	e	22HeStLy.195
43776.572417	0.05	B3Sigma-	4	2	F1	e	X3Sigma-	0	3	F1	e	22HeStLy.196
43773.303540	0.05	B3Sigma-	4	3	F1	e	X3Sigma-	0	4	F1	e	22HeStLy.197
43769.566985	0.05	B3Sigma-	4	4	F1	e	X3Sigma-	0	5	F1	e	22HeStLy.198
43765.358400	0.05	B3Sigma-	4	5	F1	e	X3Sigma-	0	6	F1	e	22HeStLy.199
43760.675950	0.05	B3Sigma-	4	6	F1	e	X3Sigma-	0	7	F1	e	22HeStLy.200
43755.519108	0.05	B3Sigma-	4	7	F1	e	X3Sigma-	0	8	F1	e	22HeStLy.201
43749.887913	0.05	B3Sigma-	4	8	F1	e	X3Sigma-	0	9	F1	e	22HeStLy.202
43743.782615	0.05	B3Sigma-	4	9	F1	e	X3Sigma-	0	10	F1	e	22HeStLy.203
43737.203529	0.05	B3Sigma-	4	10	F1	e	X3Sigma-	0	11	F1	e	22HeStLy.204
43730.150964	0.05	B3Sigma-	4	11	F1	e	X3Sigma-	0	12	F1	e	22HeStLy.205
43722.625210	0.05	B3Sigma-	4	12	F1	e	X3Sigma-	0	13	F1	e	22HeStLy.206
43714.626524	0.05	B3Sigma-	4	13	F1	e	X3Sigma-	0	14	F1	e	22HeStLy.207
43706.155137	0.05	B3Sigma-	4	14	F1	e	X3Sigma-	0	15	F1	e	22HeStLy.208
43697.211257	0.05	B3Sigma-	4	15	F1	e	X3Sigma-	0	16	F1	e	22HeStLy.209
43687.795069	0.05	B3Sigma-	4	16	F1	e	X3Sigma-	0	17	F1	e	22HeStLy.210
43677.906745	0.05	B3Sigma-	4	17	F1	e	X3Sigma-	0	18	F1	e	22HeStLy.211
43667.546441	0.05	B3Sigma-	4	18	F1	e	X3Sigma-	0	19	F1	e	22HeStLy.212
43656.714305	0.05	B3Sigma-	4	19	F1	e	X3Sigma-	0	20	F1	e	22HeStLy.213
43645.410475	0.05	B3Sigma-	4	20	F1	e	X3Sigma-	0	21	F1	e	22HeStLy.214
43633.635084	0.05	B3Sigma-	4	21	F1	e	X3Sigma-	0	22	F1	e	22HeStLy.215
43621.388260	0.05	B3Sigma-	4	22	F1	e	X3Sigma-	0	23	F1	e	22HeStLy.216
43608.670128	0.05	B3Sigma-	4	23	F1	e	X3Sigma-	0	24	F1	e	22HeStLy.217
43595.480809	0.05	B3Sigma-	4	24	F1	e	X3Sigma-	0	25	F1	e	22HeStLy.218
43581.820425	0.05	B3Sigma-	4	25	F1	e	X3Sigma-	0	26	F1	e	22HeStLy.219
43567.689093	0.05	B3Sigma-	4	26	F1	e	X3Sigma-	0	27	F1	e	22HeStLy.220
43553.086935	0.05	B3Sigma-	4	27	F1	e	X3Sigma-	0	28	F1	e	22HeStLy.221
43538.014068	0.05	B3Sigma-	4	28	F1	e	X3Sigma-	0	29	F1	e	22HeStLy.222
43522.470612	0.05	B3Sigma-	4	29	F1	e	X3Sigma-	0	30	F1	e	22HeStLy.223
43506.456688	0.05	B3Sigma-	4	30	F1	e	X3Sigma-	0	31	F1	e	22HeStLy.224
43489.972416	0.05	B3Sigma-	4	31	F1	e	X3Sigma-	0	32	F1	e	22HeStLy.225
43473.017920	0.05	B3Sigma-	4	32	F1	e	X3Sigma-	0	33	F1	e	22HeStLy.226
43455.593323	0.05	B3Sigma-	4	33	F1	e	X3Sigma-	0	34	F1	e	22HeStLy.227
43437.698751	0.05	B3Sigma-	4	34	F1	e	X3Sigma-	0	35	F1	e	22HeStLy.228
43419.334330	0.05	B3Sigma-	4	35	F1	e	X3Sigma-	0	36	F1	e	22HeStLy.229
43400.500191	0.05	B3Sigma-	4	36	F1	e	X3Sigma-	0	37	F1	e	22HeStLy.230
43381.196465	0.05	B3Sigma-	4	37	F1	e	X3Sigma-	0	38	F1	e	22HeStLy.231
43361.423284	0.05	B3Sigma-	4	38	F1	e	X3Sigma-	0	39	F1	e	22HeStLy.232
43341.180785	0.05	B3Sigma-	4	39	F1	e	X3Sigma-	0	40	F1	e	22HeStLy.233
43320.469104	0.05	B3Sigma-	4	40	F1	e	X3Sigma-	0	41	F1	e	22HeStLy.234
43299.288382	0.05	B3Sigma-	4	41	F1	e	X3Sigma-	0	42	F1	e	22HeStLy.235
43277.638760	0.05	B3Sigma-	4	42	F1	e	X3Sigma-	0	43	F1	e	22HeStLy.236
43255.520384	0.05	B3Sigma-	4	43	F1	e	X3Sigma-	0	44	F1	e	22HeStLy.237
43232.933401	0.05	B3Sigma-	4	44	F1	e	X3Sigma-	0	45	F1	e	22HeStLy.238
43209.877959	0.05	B3Sigma-	4	45	F1	e	X3Sigma-	0	46	F1	e	22HeStLy.239
43186.354212	0.05	B3Sigma-	4	46	F1	e	X3Sigma-	0	47	F1	e	22HeStLy.240
43162.362313	0.05	B3Sigma-	4	47	F1	e	X3Sigma-	0	48	F1	e	22HeStLy.241
43137.902419	0.05	B3Sigma-	4	48	F1	e	X3Sigma-	0	49	F1	e	22HeStLy.242
43776.841317	0.05	B3Sigma-	4	1	F2	e	X3Sigma-	0	1	F1	f	22HeStLy.243
43775.359667	0.05	B3Sigma-	4	2	F2	e	X3Sigma-	0	2	F1	f	22HeStLy.244
43773.255609	0.05	B3Sigma-	4	3	F2	e	X3Sigma-	0	3	F1	f	22HeStLy.245
43770.587375	0.05	B3Sigma-	4	4	F2	e	X3Sigma-	0	4	F1	f	22HeStLy.246
