transition_wavenumber	uncertainty	state_upper	v_upper	J_upper	F_upper	ef_upper	state_lower	v_lower	J_lower	F_lower	ef_lower	id
43294.821714	0.05	B3Sigma-	4	47	F1	e	X3Sigma-	0	48	F2	e	22HeStLy.196
43273.315200	0.05	B3Sigma-	4	48	F1	e	X3Sigma-	0	49	F2	e	22HeStLy.197
43251.338579	0.05	B3Sigma-	4	49	F1	e	X3Sigma-	0	50	F2	e	22HeStLy.198
43769.539702	0.05	B3Sigma-	4	1	F1	e	X3Sigma-	0	2	F1	e	22HeStLy.199
43766.747949	0.05	B3Sigma-	4	2	F1	e	X3Sigma-	0	3	F1	e	22HeStLy.200
43763.500631	0.05	B3Sigma-	4	3	F1	e	X3Sigma-	0	4	F1	e	22HeStLy.201
43759.792764	0.05	B3Sigma-	4	4	F1	e	X3Sigma-	0	5	F1	e	22HeStLy.202
43755.620209	0.05	B3Sigma-	4	5	F1	e	X3Sigma-	0	6	F1	e	22HeStLy.203
43750.980814	0.05	B3Sigma-	4	6	F1	e	X3Sigma-	0	7	F1	e	22HeStLy.204
43745.873674	0.05	B3Sigma-	4	7	F1	e	X3Sigma-	0	8	F1	e	22HeStLy.205
43740.298502	0.05	B3Sigma-	4	8	F1	e	X3Sigma-	0	9	F1	e	22HeStLy.206
43734.255294	0.05	B3Sigma-	4	9	F1	e	X3Sigma-	0	10	F1	e	22HeStLy.207
43727.744156	0.05	B3Sigma-	4	10	F1	e	X3Sigma-	0	11	F1	e	22HeStLy.208
43720.765233	0.05	B3Sigma-	4	11	F1	e	X3Sigma-	0	12	F1	e	22HeStLy.209
43713.318672	0.05	B3Sigma-	4	12	F1	e	X3Sigma-	0	13	F1	e	22HeStLy.210
43705.404608	0.05	B3Sigma-	4	13	F1	e	X3Sigma-	0	14	F1	e	22HeStLy.211
43697.023158	0.05	B3Sigma-	4	14	F1	e	X3Sigma-	0	15	F1	e	22HeStLy.212
43688.174425	0.05	B3Sigma-	4	15	F1	e	X3Sigma-	0	16	F1	e	22HeStLy.213
43678.858492	0.05	B3Sigma-	4	16	F1	e	X3Sigma-	0	17	F1	e	22HeStLy.214
43669.075430	0.05	B3Sigma-	4	17	F1	e	X3Sigma-	0	18	F1	e	22HeStLy.215
43658.825297	0.05	B3Sigma-	4	18	F1	e	X3Sigma-	0	19	F1	e	22HeStLy.216
43648.108138	0.05	B3Sigma-	4	19	F1	e	X3Sigma-	0	20	F1	e	22HeStLy.217
43636.923990	0.05	B3Sigma-	4	20	F1	e	X3Sigma-	0	21	F1	e	22HeStLy.218
43625.272881	0.05	B3Sigma-	4	21	F1	e	X3Sigma-	0	22	F1	e	22HeStLy.219
43613.154832	0.05	B3Sigma-	4	22	F1	e	X3Sigma-	0	23	F1	e	22HeStLy.220
43600.569856	0.05	B3Sigma-	4	23	F1	e	X3Sigma-	0	24	F1	e	22HeStLy.221
43587.517962	0.05	B3Sigma-	4	24	F1	e	X3Sigma-	0	25	F1	e	22HeStLy.222
